";Orders (numPair";start;lifetime;capacity)
77;1;1901;1
8;1;2210;1
77;1;2618;1
72;1;2310;1
54;1;2353;1
37;1;1902;1
90;1;2787;1
61;1;2434;1
5;1;1665;1
43;1;1350;1
69;1;2413;1
18;1;2228;1
45;1;2137;1
82;1;1587;1
38;1;2365;1
78;1;2100;1
56;1;2626;1
87;1;2703;1
88;1;1787;1
49;1;1809;1
7;1;2170;1
34;1;1514;1
27;1;2014;1
55;1;2326;1
83;1;1599;1
70;1;2385;1
45;1;1394;1
81;1;2212;1
77;1;2090;1
81;1;661;1
69;1;1581;1
57;1;2178;1
48;1;1508;1
48;1;2327;1
55;1;2512;1
63;1;1744;1
11;1;2477;1
63;1;1765;1
2;1;2135;1
32;1;1178;1
16;1;1753;1
47;1;2443;1
39;1;1611;1
16;1;1793;1
44;1;1907;1
83;1;1593;1
45;1;1763;1
42;1;1933;1
67;1;2361;1
18;1;2730;1
80;1;2724;1
15;1;2202;1
40;1;1008;1
58;1;1249;1
8;1;905;1
4;1;1221;1
21;1;2109;1
37;1;2128;1
40;1;2034;1
62;1;2072;1
51;1;1980;1
4;1;2395;1
98;1;1697;1
44;1;2002;1
92;1;1400;1
87;1;1409;1
70;1;1360;1
50;1;1435;1
34;1;1755;1
68;1;1540;1
23;1;1845;1
47;1;1977;1
52;1;2285;1
11;1;1916;1
5;1;2086;1
37;1;1766;1
70;1;2155;1
13;1;1825;1
25;1;1054;1
19;1;2695;1
23;1;1573;1
58;1;2021;1
34;1;2884;1
69;1;1580;1
18;1;1775;1
24;1;2397;1
40;1;1675;1
76;1;1511;1
69;1;1373;1
79;1;1178;1
51;1;2275;1
15;1;3570;1
86;1;1086;1
1;1;1959;1
21;1;2164;1
34;1;1759;1
43;1;2543;1
53;1;2026;1
46;1;2222;1
11;1;2107;1
88;1;1405;1
49;1;2265;1
98;1;1855;1
68;1;2416;1
26;1;1740;1
80;1;2569;1
48;1;1727;1
55;1;1060;1
74;1;1574;1
28;1;2542;1
95;1;2526;1
73;1;1690;1
3;1;2543;1
27;1;2223;1
57;1;2770;1
31;1;2343;1
67;1;2956;1
4;1;1720;1
16;1;1443;1
77;1;1282;1
51;1;1322;1
46;1;1496;1
61;1;2212;1
10;1;890;1
47;1;939;1
22;1;2126;1
91;1;2344;1
44;1;1626;1
32;1;1974;1
73;1;2212;1
47;1;1994;1
15;1;2337;1
27;1;2836;1
11;1;2183;1
57;1;1814;1
51;1;2159;1
19;1;2245;1
57;1;2215;1
36;1;1069;1
99;1;1997;1
70;1;2542;1
30;1;1880;1
13;1;1894;1
44;1;1711;1
29;1;1815;1
97;1;2504;1
60;1;1638;1
54;1;1765;1
49;1;2881;1
56;1;2100;1
14;1;1581;1
44;1;2848;1
17;1;1477;1
37;1;2736;1
66;1;2848;1
42;1;1816;1
70;1;1942;1
46;1;1597;1
7;1;1700;1
76;1;863;1
12;1;1406;1
77;1;2252;1
2;1;2369;1
33;1;2744;1
5;1;1935;1
11;1;1425;1
74;1;2488;1
80;1;1975;1
5;1;1627;1
76;1;1086;1
6;1;2025;1
65;1;2443;1
31;1;651;1
39;1;2177;1
3;1;1812;1
3;1;2087;1
94;1;1757;1
28;1;1018;1
24;1;2552;1
19;1;2232;1
9;1;2422;1
45;1;2869;1
15;1;1627;1
24;1;2640;1
80;1;997;1
18;1;1198;1
68;1;2268;1
42;1;1608;1
74;1;2599;1
36;1;2023;1
17;1;1573;1
51;1;2079;1
66;1;2108;1
90;1;1516;1
63;1;1735;1
55;1;1956;1
65;1;1534;1
73;1;1826;1
57;1;1748;1
18;1;2855;1
57;1;1523;1
25;1;1706;1
58;1;3164;1
29;1;2092;1
68;1;2330;1
98;1;2216;1
53;1;1782;1
68;1;2514;1
20;1;1800;1
96;1;904;1
1;1;2414;1
34;1;1911;1
76;1;1441;1
100;1;2505;1
17;1;2198;1
8;1;1618;1
19;1;1483;1
73;1;1391;1
43;1;2004;1
68;1;2696;1
66;1;2362;1
85;1;1596;1
15;1;2013;1
91;1;2658;1
7;1;2144;1
8;1;1338;1
30;1;1481;1
98;1;2325;1
8;1;2064;1
12;1;2752;1
51;1;2103;1
56;1;2121;1
94;1;3153;1
4;1;2853;1
83;1;1187;1
96;1;1746;1
10;1;1585;1
61;1;1794;1
58;1;2760;1
42;1;1325;1
10;1;2341;1
48;1;1909;1
6;1;2044;1
2;1;2283;1
6;1;2445;1
21;1;1982;1
71;1;2570;1
54;1;2029;1
56;1;1995;1
49;1;2499;1
98;1;2292;1
24;1;2080;1
40;1;2073;1
60;1;2012;1
76;1;1635;1
40;1;1321;1
93;1;2336;1
64;1;1801;1
16;1;2787;1
25;1;1927;1
20;1;2614;1
59;1;3231;1
63;1;1559;1
42;1;1192;1
45;1;2425;1
63;1;2691;1
34;1;1823;1
24;1;1456;1
68;1;2409;1
99;1;2379;1
81;1;1734;1
90;1;1450;1
42;1;2852;1
54;1;2347;1
18;1;1568;1
78;1;2444;1
27;1;2185;1
19;1;992;1
70;1;1953;1
11;1;2067;1
41;1;2247;1
96;1;1323;1
23;1;2148;1
47;1;1820;1
84;1;2517;1
5;1;1941;1
61;1;1266;1
96;1;1502;1
18;1;2570;1
89;1;2416;1
85;1;557;1
43;1;1965;1
70;1;1486;1
54;1;2457;1
52;1;1930;1
26;1;2665;1
75;1;1896;1
19;1;2274;1
15;1;2229;1
94;1;1563;1
73;1;1888;1
33;1;2196;1
6;1;1965;1
88;1;1347;1
51;1;1237;1
17;1;1436;1
81;1;2806;1
65;1;2518;1
48;1;1293;1
94;1;1851;1
91;1;1836;1
87;1;1729;1
22;1;2182;1
96;1;2496;1
43;1;1932;1
95;1;1951;1
77;1;2400;1
96;1;1964;1
61;1;1447;1
46;1;1028;1
62;1;2104;1
79;1;1156;1
26;1;2006;1
39;1;1965;1
6;1;2030;1
11;1;2182;1
55;1;2501;1
83;1;1974;1
22;1;1434;1
76;1;1228;1
71;1;2316;1
22;1;1907;1
87;1;1568;1
81;1;2056;1
85;1;2455;1
96;1;2147;1
64;1;1794;1
52;1;2730;1
79;1;2055;1
24;1;1778;1
9;1;1479;1
83;1;1428;1
98;1;2158;1
89;1;1251;1
9;1;1285;1
17;1;1223;1
17;1;2139;1
63;1;2302;1
94;1;2203;1
85;1;2721;1
79;1;2897;1
93;1;1845;1
63;1;1678;1
73;1;2080;1
33;1;1443;1
42;1;1284;1
84;1;1763;1
36;1;2124;1
4;1;2491;1
70;1;1368;1
81;1;1839;1
74;1;2591;1
74;1;1589;1
56;1;2059;1
88;1;2156;1
5;1;1818;1
5;1;1202;1
63;1;2884;1
45;1;1360;1
91;1;2654;1
31;1;2205;1
64;1;1854;1
17;1;2503;1
11;1;1961;1
79;1;2839;1
68;1;1920;1
20;1;2815;1
56;1;1716;1
82;1;2279;1
75;1;2595;1
99;1;2275;1
17;1;2375;1
29;1;2693;1
24;1;3341;1
24;1;1545;1
90;1;1747;1
27;1;1540;1
40;1;2343;1
76;1;2392;1
33;1;1651;1
57;1;2327;1
14;1;1661;1
29;1;2475;1
83;1;1772;1
19;1;2603;1
2;1;1639;1
5;1;2176;1
78;1;1912;1
10;1;1877;1
93;1;2257;1
77;1;1225;1
44;1;2496;1
45;1;2246;1
83;1;2116;1
83;1;1984;1
83;1;1725;1
24;1;2304;1
44;1;2240;1
29;1;1889;1
24;1;2519;1
18;1;2308;1
7;1;1338;1
24;1;1026;1
71;1;1838;1
26;1;2198;1
77;1;1719;1
94;1;1583;1
22;1;1939;1
26;1;2082;1
16;1;2161;1
96;1;1531;1
6;1;2039;1
26;1;3144;1
26;1;2133;1
23;1;2213;1
35;1;2107;1
77;1;2127;1
90;1;2235;1
2;1;1872;1
15;1;2265;1
64;1;1292;1
30;1;2778;1
12;1;1841;1
14;1;1588;1
31;1;2548;1
71;1;2001;1
40;1;2022;1
51;1;1970;1
47;1;1897;1
41;1;2444;1
82;1;1639;1
95;1;2415;1
97;1;1737;1
38;1;2488;1
83;1;1838;1
99;1;2799;1
60;1;2040;1
33;1;1942;1
12;1;1343;1
19;1;1967;1
24;1;966;1
10;1;2066;1
61;1;1616;1
87;1;2050;1
35;1;1545;1
56;1;2187;1
59;1;1939;1
89;1;1754;1
90;1;1204;1
16;1;2253;1
88;1;1536;1
66;1;3564;1
79;1;1339;1
3;1;3218;1
43;1;2139;1
90;1;2445;1
49;1;3076;1
77;1;2430;1
98;1;1933;1
93;1;2241;1
99;1;1857;1
18;1;2041;1
55;1;1863;1
6;1;2288;1
72;1;1841;1
73;1;2411;1
55;1;1479;1
65;1;2506;1
71;1;1440;1
65;1;2739;1
32;1;995;1
13;1;2263;1
52;1;1585;1
21;1;2045;1
98;1;2374;1
37;1;1735;1
18;1;2585;1
96;1;2340;1
43;1;1602;1
86;1;1645;1
37;1;1021;1
62;1;1719;1
36;1;1173;1
33;1;2133;1
55;1;2751;1
87;1;2232;1
42;1;1425;1
5;1;1523;1
41;1;2008;1
15;1;1091;1
71;1;2342;1
2;1;1476;1
28;1;1660;1
68;1;1597;1
30;1;2294;1
18;1;2394;1
36;1;2905;1
69;1;1868;1
36;1;2232;1
34;1;1914;1
12;1;1716;1
87;1;1414;1
39;1;2467;1
56;1;2122;1
100;1;1142;1
84;1;3133;1
47;1;1111;1
86;1;1811;1
70;1;2514;1
87;1;2577;1
23;1;1992;1
58;1;2294;1
39;1;2043;1
62;1;2308;1
45;1;1316;1
7;1;2354;1
41;1;2826;1
10;1;1764;1
40;1;1687;1
19;1;2229;1
66;1;1286;1
91;1;1782;1
31;1;1845;1
68;1;2586;1
48;1;1876;1
28;1;1603;1
11;1;1289;1
43;1;2066;1
43;1;1598;1
25;1;1566;1
70;1;1776;1
21;1;2475;1
81;1;1008;1
1;1;1819;1
6;1;1800;1
13;1;1271;1
35;1;1404;1
8;1;2482;1
35;1;2261;1
43;1;2012;1
35;1;1990;1
17;1;1449;1
79;1;1513;1
51;1;2129;1
19;1;1923;1
32;1;1861;1
92;1;1643;1
53;1;797;1
79;1;1521;1
70;1;1648;1
16;1;1601;1
69;1;1864;1
8;1;2597;1
60;1;2365;1
92;1;2191;1
66;1;2070;1
3;1;1798;1
21;1;1434;1
32;1;2615;1
34;1;2500;1
32;1;2569;1
64;1;1932;1
53;1;1688;1
73;1;2879;1
6;1;2442;1
96;1;1663;1
66;1;2139;1
47;1;2745;1
17;1;2678;1
25;1;984;1
89;1;2525;1
27;1;2055;1
70;1;1660;1
35;1;2533;1
4;1;2041;1
48;1;2415;1
60;1;2313;1
6;1;2008;1
95;1;3187;1
81;1;1768;1
100;1;2078;1
46;1;2855;1
27;1;1624;1
69;1;2478;1
12;1;1445;1
68;1;1285;1
95;1;2040;1
27;1;1041;1
74;1;2224;1
30;1;2182;1
83;1;2380;1
32;1;2369;1
54;1;2441;1
70;1;1322;1
57;1;2639;1
80;1;2277;1
54;1;2107;1
14;1;1840;1
17;1;932;1
97;1;2116;1
58;1;947;1
98;1;2750;1
45;1;1525;1
59;1;1759;1
99;1;2098;1
66;1;3302;1
49;1;1831;1
47;1;2460;1
4;1;2154;1
99;1;2233;1
3;1;2438;1
57;1;2729;1
6;1;2532;1
15;1;1943;1
40;1;2135;1
23;1;2665;1
49;1;2152;1
23;1;2407;1
15;1;1974;1
30;1;1825;1
32;1;2093;1
48;1;2118;1
19;1;1916;1
7;1;2034;1
82;1;1993;1
59;1;1414;1
5;1;1404;1
62;1;2643;1
83;1;1328;1
23;1;2901;1
5;1;1409;1
54;1;1834;1
45;1;2459;1
79;1;2462;1
54;1;1776;1
49;1;1882;1
80;1;2876;1
99;1;2061;1
35;1;2619;1
53;1;1816;1
68;1;2390;1
62;1;2332;1
99;1;2065;1
10;1;1858;1
57;1;2296;1
8;1;2426;1
45;1;2209;1
17;1;1785;1
33;1;2412;1
23;1;2311;1
69;1;1545;1
15;1;1748;1
65;1;1775;1
83;1;1562;1
10;1;2704;1
23;1;1341;1
1;1;1627;1
59;1;1572;1
17;1;2550;1
66;1;2087;1
51;1;1227;1
72;1;1999;1
86;1;860;1
67;1;2011;1
94;1;2113;1
89;1;1945;1
98;1;1726;1
39;1;2537;1
50;1;1341;1
19;1;3653;1
12;1;2773;1
99;1;1021;1
1;1;2458;1
12;1;2197;1
36;1;979;1
100;1;2884;1
9;1;1941;1
54;1;2708;1
49;1;2013;1
10;1;2755;1
16;1;1522;1
45;1;1423;1
89;1;2379;1
74;1;2756;1
70;1;3431;1
95;1;2096;1
3;1;2190;1
17;1;2348;1
5;1;2721;1
88;1;1988;1
99;1;1676;1
88;1;1835;1
61;1;1660;1
43;1;1055;1
10;1;2058;1
96;1;1347;1
99;1;2988;1
13;1;2310;1
60;1;2060;1
87;1;2202;1
58;1;1601;1
4;1;1807;1
62;1;2068;1
69;1;1737;1
66;1;2151;1
41;1;1486;1
10;1;1884;1
34;1;2745;1
17;1;3300;1
11;1;1652;1
17;1;1640;1
66;1;2069;1
17;1;2286;1
73;1;1852;1
96;1;1383;1
17;1;1849;1
33;1;2732;1
17;1;2667;1
50;1;1968;1
66;1;1968;1
28;1;1707;1
66;1;755;1
14;1;2416;1
16;1;1945;1
97;1;811;1
3;1;1993;1
7;1;2270;1
62;1;1689;1
92;1;1975;1
46;1;2044;1
75;1;2369;1
6;1;2394;1
71;1;1264;1
67;1;2382;1
31;1;2313;1
55;1;1770;1
84;1;1583;1
30;1;2524;1
75;1;1131;1
96;1;1535;1
16;1;659;1
67;1;1887;1
38;1;2593;1
14;1;1895;1
45;1;2053;1
49;1;1370;1
88;1;1738;1
37;1;2196;1
40;1;1898;1
77;1;2172;1
23;1;1293;1
2;1;1952;1
7;1;1367;1
96;1;1949;1
54;1;2006;1
62;1;1651;1
96;1;535;1
9;1;2086;1
51;1;1632;1
87;1;1359;1
55;1;1570;1
60;1;1843;1
93;1;2585;1
78;1;2359;1
98;1;2215;1
51;1;1431;1
56;1;1227;1
9;1;2725;1
14;1;1430;1
44;1;1676;1
36;1;2517;1
10;1;3159;1
12;1;1324;1
73;1;2076;1
23;1;2426;1
45;1;2134;1
62;1;2376;1
75;1;2066;1
81;1;2179;1
84;1;2067;1
68;1;1586;1
77;1;2892;1
78;1;1189;1
76;1;1495;1
68;1;2092;1
78;1;1742;1
10;1;2107;1
82;1;1636;1
60;1;1392;1
33;1;1343;1
47;1;2532;1
69;1;1983;1
96;1;1941;1
2;1;1813;1
30;1;1191;1
36;1;2327;1
59;1;2136;1
63;1;2628;1
88;1;1864;1
54;1;1896;1
20;1;1751;1
52;1;1512;1
40;1;1955;1
64;1;2531;1
62;1;1848;1
26;1;1799;1
81;1;1696;1
30;1;2671;1
24;1;821;1
92;1;1149;1
45;1;1580;1
23;1;2141;1
76;1;1766;1
66;1;1904;1
23;1;1654;1
61;1;1143;1
34;1;2639;1
34;1;1612;1
91;1;2261;1
12;1;1014;1
97;1;1152;1
91;1;1753;1
13;1;2441;1
86;1;1529;1
84;1;1169;1
85;1;2325;1
33;1;2480;1
35;1;2660;1
93;1;2272;1
50;1;2147;1
47;1;2719;1
88;1;2304;1
56;1;1933;1
85;1;747;1
63;1;1550;1
59;1;2119;1
43;1;2181;1
11;1;2383;1
90;1;1828;1
48;1;1645;1
45;1;2611;1
94;1;1354;1
25;1;2639;1
38;1;1090;1
88;1;2436;1
18;1;2235;1
90;1;2307;1
55;1;1931;1
88;1;1835;1
45;1;2033;1
67;1;2257;1
46;1;2617;1
56;1;2385;1
31;1;1866;1
50;1;3431;1
82;1;2007;1
100;1;1965;1
29;1;1856;1
57;1;1930;1
81;1;2321;1
95;1;2116;1
74;1;1124;1
28;1;1213;1
78;1;2255;1
83;1;2670;1
95;1;2910;1
40;1;2038;1
98;1;1847;1
25;1;1745;1
61;1;2184;1
68;1;1798;1
44;1;2046;1
93;1;2555;1
68;1;1940;1
67;1;1939;1
58;1;2828;1
61;1;1340;1
12;1;1903;1
68;1;2599;1
57;1;2415;1
95;1;1203;1
68;1;3251;1
14;1;1877;1
20;1;2226;1
25;1;2194;1
27;1;2247;1
68;1;2059;1
76;1;2489;1
99;1;1933;1
42;1;1878;1
38;1;1858;1
55;1;2472;1
11;1;1322;1
7;1;1954;1
89;1;1534;1
77;1;1601;1
71;1;1663;1
51;1;2128;1
50;1;1252;1
98;1;2069;1
97;1;1773;1
90;1;2222;1
20;1;2777;1
57;1;1621;1
25;1;2615;1
52;1;2607;1
14;1;3062;1
99;1;2000;1
84;1;2157;1
89;1;1853;1
24;1;1744;1
31;1;1754;1
14;1;1921;1
12;1;2033;1
34;1;2109;1
78;1;1535;1
65;1;2164;1
55;1;2437;1
8;1;2964;1
63;1;1957;1
47;1;2627;1
79;1;1521;1
55;1;1454;1
66;1;1760;1
32;1;1531;1
60;1;1902;1
88;1;2310;1
12;1;1832;1
15;1;2274;1
64;1;1858;1
90;1;1789;1
17;1;1802;1
91;1;2083;1
72;1;2260;1
64;1;2568;1
64;1;2914;1
50;1;2079;1
87;1;2585;1
57;1;1082;1
91;1;1387;1
7;1;2177;1
39;1;1760;1
58;1;2422;1
34;1;2639;1
36;1;2322;1
15;1;1724;1
61;1;2059;1
8;1;2441;1
45;1;1653;1
76;1;2218;1
61;1;2245;1
24;1;1490;1
51;1;1966;1
44;1;2519;1
47;1;2401;1
39;1;1745;1
29;1;3118;1
58;1;1893;1
23;1;2022;1
52;1;1420;1
50;1;1319;1
25;1;1580;1
36;1;2108;1
32;1;1871;1
17;1;2855;1
86;1;1811;1
20;1;2053;1
67;1;1732;1
35;1;2292;1
51;1;2431;1
11;1;2013;1
70;1;1825;1
14;1;1817;1
41;1;2869;1
39;1;2315;1
42;1;1684;1
39;1;1339;1
73;1;1118;1
86;1;1921;1
84;1;1888;1
58;1;2277;1
27;1;1763;1
63;1;1708;1
43;1;2320;1
65;1;2353;1
75;1;2309;1
80;1;2519;1
34;1;1805;1
54;1;971;1
40;1;2328;1
25;1;2343;1
97;1;1137;1
55;1;1867;1
73;1;2573;1
85;1;2027;1
14;1;2617;1
90;1;2129;1
99;1;1358;1
82;1;2349;1
22;1;1206;1
47;1;2222;1
49;1;1529;1
13;1;1723;1
26;1;1926;1
13;1;2058;1
66;1;1664;1
14;1;2161;1
69;1;1332;1
18;1;2797;1
85;1;2434;1
56;1;1755;1
87;1;2295;1
39;1;1526;1
24;1;1046;1
6;1;2146;1
18;1;2918;1
29;1;2730;1
18;1;2976;1
2;1;2863;1
43;1;1947;1
89;1;1593;1
40;1;1604;1
70;1;2840;1
3;1;1977;1
87;1;1959;1
65;1;2380;1
70;1;2156;1
32;1;1842;1
57;1;1612;1
97;1;1529;1
78;1;2635;1
18;1;2556;1
58;1;2867;1
12;1;820;1
38;1;2375;1
70;1;2090;1
46;1;2387;1
86;1;1909;1
26;1;2268;1
9;1;2113;1
60;1;2191;1
2;1;2186;1
12;1;1200;1
15;1;2383;1
9;1;1664;1
53;1;2886;1
35;1;2874;1
76;1;1724;1
11;1;1948;1
72;1;1609;1
9;1;2097;1
90;1;2376;1
28;1;2752;1
93;1;1728;1
92;1;2593;1
36;1;2008;1
39;1;1979;1
83;1;2218;1
19;1;1478;1
45;1;2078;1
70;1;2376;1
23;1;1661;1
66;1;1593;1
55;1;2139;1
77;1;1372;1
38;1;1516;1
31;1;2480;1
76;1;2401;1
33;1;2490;1
25;1;1943;1
10;1;1462;1
74;1;2465;1
12;1;2126;1
43;1;1895;1
50;1;2296;1
53;1;1785;1
28;1;1663;1
67;1;1425;1
29;1;2768;1
67;1;2201;1
11;1;1140;1
9;1;1656;1
21;1;1514;1
91;1;2390;1
56;1;1906;1
2;1;2223;1
8;1;1725;1
25;1;2220;1
96;1;1768;1
82;1;2025;1
82;1;1356;1
1;1;2141;1
64;1;2250;1
16;1;1765;1
98;1;1118;1
57;1;1995;1
82;1;2600;1
5;1;2243;1
1;1;1979;1
6;1;2353;1
62;1;1046;1
46;1;2998;1
23;1;1241;1
49;1;1783;1
52;1;2644;1
78;1;1439;1
85;1;1815;1
31;1;1518;1
57;1;1596;1
11;1;1698;1
52;1;2164;1
47;1;1463;1
94;1;2666;1
76;1;2042;1
72;1;2110;1
29;1;2321;1
10;1;1278;1
56;1;1443;1
69;1;1338;1
98;1;2103;1
51;1;2687;1
91;1;1694;1
42;1;2622;1
40;1;2208;1
62;1;2272;1
84;1;2829;1
55;1;1966;1
58;1;1680;1
80;1;2490;1
76;1;1953;1
3;1;1403;1
43;1;1812;1
96;1;1872;1
74;1;3193;1
52;1;2007;1
16;1;2908;1
70;1;1879;1
82;1;1627;1
49;1;2192;1
20;1;1348;1
89;1;1725;1
94;1;2454;1
53;1;1855;1
67;1;2009;1
60;1;1706;1
63;1;1992;1
30;1;1671;1
23;1;2446;1
19;1;1674;1
58;1;1696;1
20;1;2223;1
87;1;1420;1
43;1;1975;1
58;1;1900;1
14;1;1742;1
85;1;915;1
74;1;2302;1
68;1;2541;1
33;1;2771;1
100;1;2547;1
13;1;1994;1
37;1;1338;1
60;1;1667;1
63;1;1290;1
60;1;1587;1
98;1;1713;1
73;1;2232;1
55;1;1645;1
15;1;1857;1
71;1;2057;1
75;1;2453;1
4;1;1748;1
98;1;2599;1
71;1;1340;1
23;1;2182;1
34;1;1732;1
81;1;2474;1
18;1;1546;1
50;1;2012;1
42;1;2485;1
58;1;2077;1
81;1;2137;1
49;1;2199;1
61;1;2017;1
86;1;1237;1
25;1;1822;1
31;1;2360;1
100;1;2269;1
